Country,Region,Population,Area (sq. mi.),Literacy (%),Birthrate,Deathrate
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,99.4,32.65,8.25
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,78.2,37.71,16.39
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,92.6,13.87,7.04
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,60.9,37.01,9.83
Tonga ,OCEANIA                            ,114689,748,98.5,25.37,5.28
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,98.6,12.9,10.57
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,74.2,15.52,5.13
Turkey ,NEAR EAST                          ,70413958,780580,86.5,16.62,5.97
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,98,27.61,8.6
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,98,21.84,4.21
Tuvalu ,OCEANIA                            ,11810,26,ND,22.18,7.11
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,69.9,47.35,12.24
Ukraine ,C.W. OF IND. STATES ,46710816,603700,99.7,8.82,14.39
United Arab Emirates ,NEAR EAST                          ,2602713,82880,77.9,18.96,4.4
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,99,10.71,10.13
United States ,NORTHERN AMERICA                   ,298444215,9631420,97,14.14,8.26
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,98,13.91,9.05
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,99.3,26.36,7.84
Vanuatu ,OCEANIA                            ,208869,12200,53,22.72,7.82
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,93.4,18.71,4.92
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,90.3,16.86,6.22
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,ND,13.96,6.43
Wallis and Futuna ,OCEANIA                            ,16025,274,50,,
West Bank ,NEAR EAST                          ,2460492,5860,ND,31.67,3.92
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,ND,,
Yemen ,NEAR EAST                          ,21456188,527970,50.2,42.89,8.3
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,80.6,41,19.93
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,90.7,28.01,21.84
